Level 1 perfect comps:
Level 2 perfect comps:
Champions: Rakan (2), Xin Zhao (2) | Traits: Protector -> 2, Celestial -> 2
Level 3 perfect comps:
Level 4 perfect comps:
Champions: Ashe (3), Caitlyn (1), Kassadin (3), Thresh (5) | Traits: Chrono -> 2, Sniper -> 2, Celestial -> 2, Mana-Reaver -> 2
Champions: Darius (2), Ezreal (3), Graves (1), Thresh (5) | Traits: Mana-Reaver -> 2, Space Pirate -> 2, Chrono -> 2, Blaster -> 2
Champions: Darius (2), Jayce (3), Thresh (5), Wukong (4) | Traits: Mana-Reaver -> 2, Space Pirate -> 2, Vanguard -> 2, Chrono -> 2
Champions: Ezreal (3), Graves (1), Jayce (3), Wukong (4) | Traits: Space Pirate -> 2, Blaster -> 2, Chrono -> 2, Vanguard -> 2
Level 5 perfect comps:
Champions: Aurelion Sol (5), Blitzcrank (2), Ezreal (3), Jinx (4), Malphite (1) | Traits: Chrono -> 2, Rebel -> 3, Starship -> 1, Blaster -> 2, Brawler -> 2
Champions: Aurelion Sol (5), Gangplank (5), Graves (1), Jinx (4), Ziggs (1) | Traits: Demolitionist -> 2, Starship -> 1, Space Pirate -> 2, Blaster -> 2, Mercenary -> 1, Rebel -> 3
Champions: Blitzcrank (2), Malphite (1), Master Yi (3), Shen (2), Yasuo (2) | Traits: Rebel -> 3, Chrono -> 2, Blademaster -> 3, Brawler -> 2
Champions: Ezreal (3), Jinx (4), Master Yi (3), Shen (2), Yasuo (2) | Traits: Rebel -> 3, Blaster -> 2, Chrono -> 2, Blademaster -> 3
Champions: Jinx (4), Kayle (4), Master Yi (3), Miss Fortune (5), Yasuo (2) | Traits: Rebel -> 3, Blademaster -> 3, Valkyrie -> 2, Blaster -> 2, Mercenary -> 1
Champions: Lulu (5), Master Yi (3), Sona (2), Xayah (1), Yasuo (2) | Traits: Celestial -> 2, Mystic -> 2, Rebel -> 3, Blademaster -> 3
Level 6 perfect comps:
Champions: Ahri (2), Jarvan IV (1), Karma (3), Lux (3), Neeko (3), Soraka (4) | Traits: Star Guardian -> 3, Sorcerer -> 2, Dark Star -> 3, Protector -> 2, Mystic -> 2
Champions: Ahri (2), Jarvan IV (1), Karma (3), Neeko (3), Soraka (4), Xerath (5) | Traits: Sorcerer -> 2, Star Guardian -> 3, Mystic -> 2, Protector -> 2, Dark Star -> 3
Champions: Ahri (2), Jarvan IV (1), Lux (3), Mordekaiser (2), Neeko (3), Poppy (1) | Traits: Sorcerer -> 2, Star Guardian -> 3, Vanguard -> 2, Dark Star -> 3, Protector -> 2
Champions: Ahri (2), Jarvan IV (1), Lux (3), Neeko (3), Syndra (3), Xerath (5) | Traits: Dark Star -> 3, Sorcerer -> 4, Star Guardian -> 3, Protector -> 2
Champions: Ahri (2), Jarvan IV (1), Lux (3), Neeko (3), Xerath (5), Zoe (1) | Traits: Star Guardian -> 3, Sorcerer -> 4, Protector -> 2, Dark Star -> 3
Champions: Ahri (2), Jarvan IV (1), Mordekaiser (2), Neeko (3), Poppy (1), Xerath (5) | Traits: Sorcerer -> 2, Protector -> 2, Vanguard -> 2, Dark Star -> 3, Star Guardian -> 3
Champions: Ahri (2), Karma (3), Lux (3), Mordekaiser (2), Poppy (1), Soraka (4) | Traits: Star Guardian -> 3, Sorcerer -> 2, Mystic -> 2, Vanguard -> 2, Dark Star -> 3
Champions: Ahri (2), Karma (3), Lux (3), Soraka (4), Syndra (3), Xerath (5) | Traits: Dark Star -> 3, Star Guardian -> 3, Mystic -> 2, Sorcerer -> 4
Champions: Ahri (2), Karma (3), Lux (3), Soraka (4), Xerath (5), Zoe (1) | Traits: Star Guardian -> 3, Mystic -> 2, Sorcerer -> 4, Dark Star -> 3
Champions: Ahri (2), Karma (3), Mordekaiser (2), Poppy (1), Soraka (4), Xerath (5) | Traits: Vanguard -> 2, Mystic -> 2, Dark Star -> 3, Sorcerer -> 2, Star Guardian -> 3
Champions: Ahri (2), Lux (3), Mordekaiser (2), Poppy (1), Syndra (3), Xerath (5) | Traits: Star Guardian -> 3, Vanguard -> 2, Dark Star -> 3, Sorcerer -> 4
Champions: Ahri (2), Lux (3), Mordekaiser (2), Poppy (1), Xerath (5), Zoe (1) | Traits: Dark Star -> 3, Star Guardian -> 3, Vanguard -> 2, Sorcerer -> 4
